archetype,src_class,dst_class,edge_count,weight_sum
deltaic,building,building,0,0.0
deltaic,building,water,0,0.0
deltaic,building,power,0,0.0
deltaic,building,transport,0,0.0
deltaic,water,building,79,19.292311
deltaic,water,water,33,5.235267
deltaic,water,power,0,0.0
deltaic,water,transport,0,0.0
deltaic,power,building,79,20.411263
deltaic,power,water,0,0.0
deltaic,power,power,33,5.626607
deltaic,power,transport,0,0.0
deltaic,transport,building,79,25.102127
deltaic,transport,water,0,0.0
deltaic,transport,power,0,0.0
deltaic,transport,transport,57,11.113172
coastal,building,building,0,0.0
coastal,building,water,0,0.0
coastal,building,power,0,0.0
coastal,building,transport,0,0.0
coastal,water,building,79,25.498472
coastal,water,water,63,13.131624
coastal,water,power,0,0.0
coastal,water,transport,0,0.0
coastal,power,building,79,15.623305
coastal,power,water,0,0.0
coastal,power,power,33,6.110662
coastal,power,transport,0,0.0
coastal,transport,building,79,17.324842
coastal,transport,water,0,0.0
coastal,transport,power,0,0.0
coastal,transport,transport,27,3.641631
lowland,building,building,0,0.0
lowland,building,water,0,0.0
lowland,building,power,0,0.0
lowland,building,transport,0,0.0
lowland,water,building,78,22.547739
lowland,water,water,51,9.006607
lowland,water,power,0,0.0
lowland,water,transport,0,0.0
lowland,power,building,78,19.68523
lowland,power,water,0,0.0
lowland,power,power,42,7.887986
lowland,power,transport,0,0.0
lowland,transport,building,78,19.029215
lowland,transport,water,0,0.0
lowland,transport,power,0,0.0
lowland,transport,transport,33,6.110765
mixed,building,building,0,0.0
mixed,building,water,0,0.0
mixed,building,power,0,0.0
mixed,building,transport,0,0.0
mixed,water,building,79,16.240406
mixed,water,water,18,1.261005
mixed,water,power,0,0.0
mixed,water,transport,0,0.0
mixed,power,building,79,22.935886
mixed,power,water,0,0.0
mixed,power,power,57,11.522926
mixed,power,transport,0,0.0
mixed,transport,building,79,19.29678
mixed,transport,water,0,0.0
mixed,transport,power,0,0.0
mixed,transport,transport,48,9.939474
inland,building,building,0,0.0
inland,building,water,0,0.0
inland,building,power,0,0.0
inland,building,transport,0,0.0
inland,water,building,83,21.365879
inland,water,water,39,7.676439
inland,water,power,0,0.0
inland,water,transport,0,0.0
inland,power,building,83,18.18704
inland,power,water,0,0.0
inland,power,power,33,4.982504
inland,power,transport,0,0.0
inland,transport,building,83,20.94589
inland,transport,water,0,0.0
inland,transport,power,0,0.0
inland,transport,transport,39,6.731421
arid,building,building,0,0.0
arid,building,water,0,0.0
arid,building,power,0,0.0
arid,building,transport,0,0.0
arid,water,building,85,19.458178
arid,water,water,42,8.658584
arid,water,power,0,0.0
arid,water,transport,0,0.0
arid,power,building,85,18.861786
arid,power,water,0,0.0
arid,power,power,30,5.757044
arid,power,transport,0,0.0
arid,transport,building,85,20.611523
arid,transport,water,0,0.0
arid,transport,power,0,0.0
arid,transport,transport,33,5.102618
cold,building,building,0,0.0
cold,building,water,0,0.0
cold,building,power,0,0.0
cold,building,transport,0,0.0
cold,water,building,84,19.406672
cold,water,water,18,2.350424
cold,water,power,0,0.0
cold,water,transport,0,0.0
cold,power,building,84,26.187414
cold,power,water,0,0.0
cold,power,power,54,10.669727
cold,power,transport,0,0.0
cold,transport,building,84,17.546375
cold,transport,water,0,0.0
cold,transport,power,0,0.0
cold,transport,transport,36,6.221122
high_alt,building,building,0,0.0
high_alt,building,water,0,0.0
high_alt,building,power,0,0.0
high_alt,building,transport,0,0.0
high_alt,water,building,81,23.052624
high_alt,water,water,39,8.284094
high_alt,water,power,0,0.0
high_alt,water,transport,0,0.0
high_alt,power,building,81,19.963623
high_alt,power,water,0,0.0
high_alt,power,power,39,7.341593
high_alt,power,transport,0,0.0
high_alt,transport,building,81,21.852774
high_alt,transport,water,0,0.0
high_alt,transport,power,0,0.0
high_alt,transport,transport,39,7.516996
