method,ssp,epoch,n,mean_dmg_final,std_dmg_final,bca_ci_lo,bca_ci_hi,wilcoxon_vs_B0_z,wilcoxon_vs_B0_p
B0_static_hazus,SSP2-4.5,2020,1600,0.209056,0.035813,0.207352,0.21082,,
B0_static_hazus,SSP2-4.5,2050,1600,0.209476,0.036292,0.207731,0.211252,,
B0_static_hazus,SSP2-4.5,2100,1600,0.208905,0.035571,0.207122,0.210612,,
B0_static_hazus,SSP5-8.5,2020,1600,0.209152,0.035924,0.207402,0.210857,,
B0_static_hazus,SSP5-8.5,2050,1600,0.209418,0.036214,0.207715,0.21119,,
B0_static_hazus,SSP5-8.5,2100,1600,0.208944,0.036262,0.207242,0.210708,,
B0_static_hazus,Control-NoCC,2020,1600,0.209614,0.036881,0.20785,0.211387,,
B0_static_hazus,Control-NoCC,2050,1600,0.209468,0.035564,0.207802,0.211227,,
B0_static_hazus,Control-NoCC,2100,1600,0.209405,0.035805,0.207752,0.211243,,
B1_climate_hazus_no_cascade,SSP2-4.5,2020,1600,0.208158,0.036331,0.20645,0.209937,,
B1_climate_hazus_no_cascade,SSP2-4.5,2050,1600,0.209542,0.037628,0.20772,0.211375,,
B1_climate_hazus_no_cascade,SSP2-4.5,2100,1600,0.210071,0.03715,0.208203,0.211834,,
B1_climate_hazus_no_cascade,SSP5-8.5,2020,1600,0.209955,0.03599,0.208172,0.211659,,
B1_climate_hazus_no_cascade,SSP5-8.5,2050,1600,0.20954,0.037294,0.207721,0.2114,,
B1_climate_hazus_no_cascade,SSP5-8.5,2100,1600,0.211852,0.039171,0.209948,0.213751,,
B1_climate_hazus_no_cascade,Control-NoCC,2020,1600,0.208707,0.035442,0.207005,0.210391,,
B1_climate_hazus_no_cascade,Control-NoCC,2050,1600,0.209911,0.036006,0.20814,0.211671,,
B1_climate_hazus_no_cascade,Control-NoCC,2100,1600,0.209388,0.036278,0.207662,0.211219,,
B2_static_cascade,SSP2-4.5,2020,1600,0.298716,0.050428,0.296342,0.301124,,
B2_static_cascade,SSP2-4.5,2050,1600,0.2985,0.050923,0.295983,0.301118,,
B2_static_cascade,SSP2-4.5,2100,1600,0.299921,0.050855,0.297468,0.30248,,
B2_static_cascade,SSP5-8.5,2020,1600,0.299425,0.050317,0.29698,0.301811,,
B2_static_cascade,SSP5-8.5,2050,1600,0.298404,0.049652,0.295955,0.300848,,
B2_static_cascade,SSP5-8.5,2100,1600,0.297529,0.05083,0.294999,0.300027,,
B2_static_cascade,Control-NoCC,2020,1600,0.298783,0.050915,0.296213,0.301235,,
B2_static_cascade,Control-NoCC,2050,1600,0.299342,0.050745,0.296844,0.301772,,
B2_static_cascade,Control-NoCC,2100,1600,0.30048,0.050461,0.298059,0.302958,,
B3_cgstg_hazus_only,SSP2-4.5,2020,1600,0.298426,0.051288,0.296076,0.300986,,
B3_cgstg_hazus_only,SSP2-4.5,2050,1600,0.300695,0.053124,0.298168,0.303275,,
B3_cgstg_hazus_only,SSP2-4.5,2100,1600,0.301336,0.053837,0.298722,0.303886,,
B3_cgstg_hazus_only,SSP5-8.5,2020,1600,0.299409,0.051521,0.296904,0.301891,,
B3_cgstg_hazus_only,SSP5-8.5,2050,1600,0.300599,0.053266,0.298109,0.303273,,
B3_cgstg_hazus_only,SSP5-8.5,2100,1600,0.301381,0.05649,0.298697,0.304141,,
B3_cgstg_hazus_only,Control-NoCC,2020,1600,0.297454,0.050592,0.294987,0.300103,,
B3_cgstg_hazus_only,Control-NoCC,2050,1600,0.298686,0.050728,0.296264,0.301236,,
B3_cgstg_hazus_only,Control-NoCC,2100,1600,0.297932,0.050525,0.2955,0.300423,,
B4_cgstg_full,SSP2-4.5,2020,1600,0.288333,0.051259,0.285805,0.29084,,
B4_cgstg_full,SSP2-4.5,2050,1600,0.289892,0.051604,0.287427,0.292573,,
B4_cgstg_full,SSP2-4.5,2100,1600,0.289345,0.054552,0.28664,0.292049,,
