model,held_out_city_id,held_out_archetype,held_out_label,seed,test_rmse
gnn,0,deltaic,Tianjin-like,0,0.06172
mlp,0,deltaic,Tianjin-like,0,0.06364
gnn,0,deltaic,Tianjin-like,1,0.06647
mlp,0,deltaic,Tianjin-like,1,0.07038
gnn,1,coastal,Bangkok-like,0,0.05847
mlp,1,coastal,Bangkok-like,0,0.06612
gnn,1,coastal,Bangkok-like,1,0.05888
mlp,1,coastal,Bangkok-like,1,0.06308
gnn,2,lowland,Jakarta-like,0,0.05944
mlp,2,lowland,Jakarta-like,0,0.07052
gnn,2,lowland,Jakarta-like,1,0.0543
mlp,2,lowland,Jakarta-like,1,0.07138
gnn,3,mixed,Beijing-like,0,0.05639
mlp,3,mixed,Beijing-like,0,0.06364
gnn,3,mixed,Beijing-like,1,0.05967
mlp,3,mixed,Beijing-like,1,0.07534
gnn,4,inland,Tangshan-like,0,0.0534
mlp,4,inland,Tangshan-like,0,0.0591
gnn,4,inland,Tangshan-like,1,0.05609
mlp,4,inland,Tangshan-like,1,0.06508
gnn,5,arid,Hohhot-like,0,0.06031
mlp,5,arid,Hohhot-like,0,0.06591
gnn,5,arid,Hohhot-like,1,0.06753
mlp,5,arid,Hohhot-like,1,0.06955
gnn,6,cold,Anchorage-like,0,0.06362
mlp,6,cold,Anchorage-like,0,0.0703
gnn,6,cold,Anchorage-like,1,0.05785
mlp,6,cold,Anchorage-like,1,0.07101
gnn,7,high_alt,Mexico-City-like,0,0.04405
mlp,7,high_alt,Mexico-City-like,0,0.04922
gnn,7,high_alt,Mexico-City-like,1,0.04629
mlp,7,high_alt,Mexico-City-like,1,0.04901
