model,held_out,epoch,train_rmse,test_rmse
gnn,0,0,0.26525,0.11343
gnn,0,1,0.09212,0.08104
gnn,0,2,0.06665,0.07852
gnn,0,3,0.07442,0.06496
gnn,0,4,0.06116,0.06626
gnn,0,5,0.05946,0.06543
gnn,0,6,0.05886,0.06269
gnn,0,7,0.0572,0.06182
gnn,0,8,0.06073,0.05848
gnn,0,9,0.06119,0.06368
gnn,0,10,0.05841,0.06065
gnn,0,11,0.05503,0.06292
gnn,0,12,0.05897,0.0613
gnn,0,13,0.05676,0.06584
gnn,0,14,0.05603,0.0706
gnn,0,15,0.05843,0.06379
gnn,0,16,0.06039,0.0594
gnn,0,17,0.05457,0.06104
gnn,0,18,0.05536,0.068
gnn,0,19,0.05456,0.05985
gnn,0,20,0.05405,0.05996
gnn,0,21,0.05424,0.07021
gnn,0,22,0.05467,0.07122
gnn,0,23,0.05562,0.06903
gnn,0,24,0.05505,0.06214
gnn,0,25,0.05413,0.05978
gnn,0,26,0.05479,0.05953
gnn,0,27,0.05233,0.0622
gnn,0,28,0.05563,0.06566
gnn,0,29,0.05368,0.06187
gnn,0,30,0.05466,0.0626
gnn,0,31,0.05635,0.06287
gnn,0,32,0.05284,0.06668
gnn,0,33,0.05233,0.06949
gnn,0,34,0.05375,0.09578
gnn,0,35,0.0533,0.06523
gnn,0,36,0.05454,0.06021
gnn,0,37,0.05575,0.06568
gnn,0,38,0.05218,0.06532
gnn,0,39,0.05291,0.06172
mlp,0,0,0.24374,0.08922
mlp,0,1,0.0838,0.08402
mlp,0,2,0.07806,0.0849
mlp,0,3,0.07964,0.07174
mlp,0,4,0.07677,0.07148
mlp,0,5,0.07332,0.06939
mlp,0,6,0.07283,0.07634
mlp,0,7,0.0716,0.06953
mlp,0,8,0.07384,0.07478
mlp,0,9,0.0704,0.06805
mlp,0,10,0.06767,0.06493
mlp,0,11,0.06745,0.06904
mlp,0,12,0.06621,0.06402
mlp,0,13,0.0677,0.06727
mlp,0,14,0.06463,0.07502
mlp,0,15,0.06551,0.06985
mlp,0,16,0.06591,0.06288
mlp,0,17,0.06447,0.06508
mlp,0,18,0.06417,0.06995
mlp,0,19,0.06383,0.0658
mlp,0,20,0.06374,0.06855
mlp,0,21,0.06522,0.07237
mlp,0,22,0.06407,0.06592
mlp,0,23,0.06312,0.07729
mlp,0,24,0.06285,0.06311
mlp,0,25,0.06344,0.06943
mlp,0,26,0.06316,0.06355
mlp,0,27,0.06241,0.06654
mlp,0,28,0.06492,0.0639
mlp,0,29,0.06162,0.06765
mlp,0,30,0.063,0.06501
mlp,0,31,0.06377,0.06513
mlp,0,32,0.06113,0.07173
mlp,0,33,0.06143,0.07888
mlp,0,34,0.06389,0.07476
mlp,0,35,0.06108,0.06847
mlp,0,36,0.0632,0.07347
mlp,0,37,0.0618,0.06866
mlp,0,38,0.06128,0.0675
mlp,0,39,0.06232,0.06364
gnn,0,0,0.25596,0.0963
gnn,0,1,0.08507,0.07415
gnn,0,2,0.06729,0.06848
gnn,0,3,0.06594,0.07159
gnn,0,4,0.06021,0.07493
gnn,0,5,0.06514,0.06183
gnn,0,6,0.06278,0.0616
gnn,0,7,0.05956,0.06157
gnn,0,8,0.05892,0.05861
gnn,0,9,0.05907,0.05961
gnn,0,10,0.05934,0.06066
gnn,0,11,0.05487,0.06097
gnn,0,12,0.05467,0.07425
gnn,0,13,0.06027,0.08006
gnn,0,14,0.05596,0.06468
gnn,0,15,0.05441,0.06445
gnn,0,16,0.05584,0.05903
gnn,0,17,0.05536,0.06772
gnn,0,18,0.05462,0.06189
gnn,0,19,0.05522,0.05918
gnn,0,20,0.05453,0.05972
gnn,0,21,0.05565,0.05667
gnn,0,22,0.05265,0.08304
gnn,0,23,0.05489,0.06192
gnn,0,24,0.05528,0.06233
gnn,0,25,0.05231,0.06649
gnn,0,26,0.055,0.07585
gnn,0,27,0.05907,0.06531
gnn,0,28,0.05465,0.05699
gnn,0,29,0.0529,0.06566
gnn,0,30,0.05294,0.06052
gnn,0,31,0.05644,0.06195
gnn,0,32,0.05173,0.06139
gnn,0,33,0.05526,0.06728
gnn,0,34,0.05184,0.06143
gnn,0,35,0.05283,0.05641
gnn,0,36,0.05358,0.05912
gnn,0,37,0.0512,0.05807
gnn,0,38,0.05331,0.06375
gnn,0,39,0.05228,0.06647
mlp,0,0,0.23864,0.09902
mlp,0,1,0.08524,0.08223
mlp,0,2,0.07828,0.08454
mlp,0,3,0.07495,0.0664
mlp,0,4,0.0737,0.07607
mlp,0,5,0.06962,0.06735
mlp,0,6,0.07017,0.06713
mlp,0,7,0.06779,0.06565
mlp,0,8,0.06617,0.06397
mlp,0,9,0.06649,0.0649
mlp,0,10,0.06968,0.06586
mlp,0,11,0.06417,0.06322
mlp,0,12,0.0625,0.0696
mlp,0,13,0.0658,0.07163
mlp,0,14,0.06418,0.07514
mlp,0,15,0.06351,0.06787
mlp,0,16,0.06355,0.06222
mlp,0,17,0.06474,0.06791
mlp,0,18,0.06366,0.06976
mlp,0,19,0.06319,0.0634
mlp,0,20,0.06342,0.06501
mlp,0,21,0.06379,0.06479
mlp,0,22,0.06202,0.08648
mlp,0,23,0.06488,0.06462
mlp,0,24,0.06536,0.06626
mlp,0,25,0.06114,0.06642
mlp,0,26,0.06411,0.06895
mlp,0,27,0.06515,0.06694
mlp,0,28,0.06301,0.06254
mlp,0,29,0.06164,0.07077
mlp,0,30,0.06178,0.06596
mlp,0,31,0.06219,0.06323
mlp,0,32,0.06158,0.06444
mlp,0,33,0.06149,0.08
mlp,0,34,0.06176,0.06603
mlp,0,35,0.06142,0.06186
mlp,0,36,0.0611,0.06575
mlp,0,37,0.05989,0.06305
mlp,0,38,0.06177,0.07611
mlp,0,39,0.06335,0.07038
gnn,1,0,0.26363,0.09274
gnn,1,1,0.08919,0.07408
gnn,1,2,0.06807,0.07843
gnn,1,3,0.07218,0.05907
gnn,1,4,0.06452,0.06073
gnn,1,5,0.06258,0.0572
gnn,1,6,0.06033,0.05797
gnn,1,7,0.05928,0.05931
gnn,1,8,0.06087,0.06059
gnn,1,9,0.06046,0.06409
gnn,1,10,0.05877,0.05532
gnn,1,11,0.05612,0.056
gnn,1,12,0.06032,0.0637
gnn,1,13,0.05776,0.06273
gnn,1,14,0.05646,0.05625
gnn,1,15,0.05881,0.06865
gnn,1,16,0.05738,0.06288
gnn,1,17,0.05619,0.05787
gnn,1,18,0.05642,0.05598
gnn,1,19,0.05546,0.0568
gnn,1,20,0.05504,0.05766
gnn,1,21,0.05599,0.05589
gnn,1,22,0.05653,0.05339
gnn,1,23,0.05699,0.05509
gnn,1,24,0.05381,0.05564
gnn,1,25,0.05469,0.058
gnn,1,26,0.05613,0.07166
gnn,1,27,0.05395,0.0593
gnn,1,28,0.05587,0.06346
gnn,1,29,0.0549,0.06547
gnn,1,30,0.0568,0.05567
gnn,1,31,0.05593,0.05709
gnn,1,32,0.05528,0.05972
gnn,1,33,0.05478,0.05643
gnn,1,34,0.05554,0.06753
gnn,1,35,0.05438,0.05602
gnn,1,36,0.05547,0.05914
gnn,1,37,0.05759,0.05803
gnn,1,38,0.05338,0.05669
gnn,1,39,0.05293,0.05847
mlp,1,0,0.24803,0.0836
mlp,1,1,0.08556,0.07531
mlp,1,2,0.07922,0.09916
mlp,1,3,0.08096,0.07357
mlp,1,4,0.07871,0.07132
mlp,1,5,0.07414,0.06949
mlp,1,6,0.07357,0.06875
mlp,1,7,0.07174,0.07009
mlp,1,8,0.07632,0.07933
mlp,1,9,0.07071,0.07179
mlp,1,10,0.07055,0.06848
mlp,1,11,0.06776,0.06493
mlp,1,12,0.07007,0.06838
mlp,1,13,0.0687,0.07001
mlp,1,14,0.06673,0.06553
mlp,1,15,0.06718,0.07403
mlp,1,16,0.06591,0.06921
mlp,1,17,0.06668,0.07043
mlp,1,18,0.06602,0.06453
