Mw,R_km,n,mean_dmg_final,std_dmg_final,p10,p90
5.5,10.0,480,0.45107,0.04094,0.39439,0.50313
5.5,25.0,480,0.15068,0.04449,0.0968,0.21401
5.5,50.0,480,0.02775,0.01594,0.01094,0.05005
5.5,100.0,480,0.00128,0.00187,0.00019,0.00292
6.0,10.0,480,0.50815,0.03919,0.45817,0.5603
6.0,25.0,480,0.21531,0.05083,0.15575,0.29199
6.0,50.0,480,0.05729,0.02881,0.02745,0.09737
6.0,100.0,480,0.00433,0.00476,0.0009,0.01066
6.5,10.0,480,0.56423,0.03729,0.51621,0.61161
6.5,25.0,480,0.29262,0.05551,0.22604,0.37337
6.5,50.0,480,0.10211,0.04416,0.05537,0.1716
6.5,100.0,480,0.01416,0.01223,0.00412,0.03007
7.0,10.0,480,0.61551,0.03209,0.56988,0.65578
7.0,25.0,480,0.37681,0.05759,0.31062,0.46072
7.0,50.0,480,0.17323,0.05851,0.10891,0.26537
7.0,100.0,480,0.03648,0.02683,0.01179,0.07669
7.5,10.0,480,0.66376,0.02936,0.62375,0.69963
7.5,25.0,480,0.46445,0.05045,0.40197,0.53127
7.5,50.0,480,0.26065,0.06536,0.18414,0.3658
7.5,100.0,480,0.08016,0.04569,0.03631,0.15953
