city,ssp,epoch,b0_mean,b4_mean,ci95_hi,ci95_lo,gap_b4_minus_b0,n_b4
Tianjin,SSP5-8.5,2020,0.25903,0.63821,,,0.37919,90
Tianjin,SSP5-8.5,2100,0.2532,0.65727,,,0.40407,90
Tianjin,Control-NoCC,2020,0.25903,0.64089,,,0.38186,90
Tianjin,Control-NoCC,2100,0.25534,0.63873,,,0.38339,90
Tianjin,SSP5-8.5_CLIMATE_ISOLATED,2100-2020,,,0.03168,0.0063,0.01906,90
Bangkok,SSP5-8.5,2020,0.23872,0.5879,,,0.34918,90
Bangkok,SSP5-8.5,2100,0.234,0.59301,,,0.35901,90
Bangkok,Control-NoCC,2020,0.23914,0.59501,,,0.35587,90
Bangkok,Control-NoCC,2100,0.2348,0.59121,,,0.35641,90
Bangkok,SSP5-8.5_CLIMATE_ISOLATED,2100-2020,,,0.01999,-0.01053,0.00511,90
Jakarta,SSP5-8.5,2020,0.22323,0.54288,,,0.31965,90
Jakarta,SSP5-8.5,2100,0.218,0.53696,,,0.31896,90
Jakarta,Control-NoCC,2020,0.22332,0.54713,,,0.32382,90
Jakarta,Control-NoCC,2100,0.2196,0.54567,,,0.32606,90
Jakarta,SSP5-8.5_CLIMATE_ISOLATED,2100-2020,,,0.00998,-0.0221,-0.00592,90
