perturbation,pga_sigma,soil_sigma,rewire_prob,R2,pearson_r,pearson_p,gap_Bangkok,gap_Cairo,gap_Christchurch,gap_Lima,gap_Tianjin,gap_Tokyo
baseline,0.0,0.0,0.0,0.5247,0.7243,0.103508,0.01021,0.00818,0.01786,-0.00397,0.02915,0.002
PGA_sigma_0.05,0.05,0.0,0.0,0.7243,0.8511,0.031614,0.019,-0.00062,0.02397,7e-05,0.02504,0.00086
PGA_sigma_0.10,0.1,0.0,0.0,0.6726,0.8201,0.045622,0.01939,0.00256,0.02381,0.00439,0.02651,0.00238
PGA_sigma_0.20,0.2,0.0,0.0,0.5401,0.7349,0.096074,0.01986,0.00959,0.02482,0.01309,0.02909,0.00556
soil_sigma_0.05,0.0,0.05,0.0,0.7508,0.8665,0.025553,0.0189,-0.00355,0.0231,-0.00408,0.0215,-0.0005
soil_sigma_0.10,0.0,0.1,0.0,0.7054,0.8399,0.036404,0.01942,-0.00355,0.02101,-0.00408,0.02016,-0.00042
soil_sigma_0.15,0.0,0.15,0.0,0.6451,0.8032,0.054305,0.01994,-0.00355,0.01875,-0.00408,0.01911,-0.00026
graph_rewire_0.05,0.0,0.0,0.05,0.4693,0.685,0.133172,0.01293,0.00625,0.01594,-0.00313,0.02895,-0.00093
graph_rewire_0.10,0.0,0.0,0.1,0.5843,0.7644,0.07672,0.01194,0.00641,0.02015,-0.00413,0.03112,0.00261
graph_rewire_0.20,0.0,0.0,0.2,0.7461,0.8638,0.026566,0.01213,0.004,0.02429,0.00092,0.02675,0.0003
combined_0.20+0.15+0.10,0.2,0.15,0.1,0.5978,0.7732,0.071341,0.01858,-0.00591,0.02419,-0.00742,0.03762,0.01127
