city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,std_gap,ci_lo,ci_hi,sign
Tianjin,China,deltaic,39.1421,117.1767,2.5,Control-NoCC,72,0.00309,0.08404,-0.01476,0.02321,zero-crossing
Tianjin,China,deltaic,39.1421,117.1767,2.5,SSP1-2.6,72,0.01218,0.07857,-0.00721,0.02891,zero-crossing
Tianjin,China,deltaic,39.1421,117.1767,2.5,SSP2-4.5,72,0.0165,0.10127,-0.0055,0.04031,zero-crossing
Tianjin,China,deltaic,39.1421,117.1767,2.5,SSP5-8.5,72,0.01976,0.08815,-0.00075,0.03867,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,Control-NoCC,72,-0.00536,0.09683,-0.02749,0.01734,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,SSP1-2.6,72,0.01121,0.08838,-0.01138,0.02955,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,SSP2-4.5,72,0.00603,0.09833,-0.01752,0.02872,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,SSP5-8.5,72,0.01173,0.08622,-0.00878,0.03124,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,Control-NoCC,72,-0.01139,0.0949,-0.03446,0.01001,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,SSP1-2.6,72,0.0076,0.08793,-0.01269,0.02772,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,SSP2-4.5,72,0.00462,0.10308,-0.01792,0.02831,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,SSP5-8.5,72,0.00719,0.08695,-0.01143,0.02796,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,Control-NoCC,72,0.00138,0.09709,-0.02057,0.02325,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,SSP1-2.6,72,0.00397,0.09768,-0.019,0.02574,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,SSP2-4.5,72,0.01652,0.07755,-0.00065,0.03341,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,SSP5-8.5,72,0.02466,0.07704,0.00728,0.0424,positive
Manila,Philippines,coastal,14.5995,120.9842,3.5,Control-NoCC,72,-0.00159,0.08428,-0.02035,0.01749,zero-crossing
Manila,Philippines,coastal,14.5995,120.9842,3.5,SSP1-2.6,72,0.00013,0.0865,-0.02038,0.0194,zero-crossing
Manila,Philippines,coastal,14.5995,120.9842,3.5,SSP2-4.5,72,0.01252,0.09308,-0.00889,0.03503,zero-crossing
Manila,Philippines,coastal,14.5995,120.9842,3.5,SSP5-8.5,72,0.02178,0.07935,0.0031,0.03969,positive
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,Control-NoCC,72,-0.00125,0.07837,-0.01934,0.01704,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,SSP1-2.6,72,0.01376,0.08701,-0.00477,0.03481,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,SSP2-4.5,72,0.01095,0.0962,-0.0111,0.03245,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,SSP5-8.5,72,0.02704,0.08358,0.00801,0.04583,positive
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,Control-NoCC,72,-0.01346,0.09404,-0.03487,0.00905,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,SSP1-2.6,72,0.00853,0.09598,-0.01367,0.03148,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,SSP2-4.5,72,0.00494,0.1006,-0.01877,0.02707,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,SSP5-8.5,72,0.008,0.09264,-0.01365,0.02855,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,Control-NoCC,72,-0.00623,0.09377,-0.02663,0.01643,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,SSP1-2.6,72,0.00399,0.09592,-0.01756,0.02593,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,SSP2-4.5,72,0.0026,0.09887,-0.01918,0.02585,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,SSP5-8.5,72,0.00904,0.09533,-0.01159,0.03145,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,Control-NoCC,72,-0.01448,0.10676,-0.0383,0.01043,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,SSP1-2.6,72,0.00634,0.09898,-0.01824,0.02816,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,SSP2-4.5,72,0.00967,0.10925,-0.0144,0.0347,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,SSP5-8.5,72,-0.00254,0.09661,-0.02548,0.0196,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,Control-NoCC,72,-0.00309,0.10734,-0.0273,0.02161,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,SSP1-2.6,72,0.00469,0.10476,-0.02055,0.02879,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,SSP2-4.5,72,0.00385,0.10495,-0.02054,0.02787,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,SSP5-8.5,72,-0.00381,0.09713,-0.02611,0.01823,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,Control-NoCC,72,-0.0084,0.09584,-0.03021,0.01499,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,SSP1-2.6,72,0.00623,0.09928,-0.01612,0.02997,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,SSP2-4.5,72,0.00288,0.10169,-0.02037,0.02584,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,SSP5-8.5,72,0.0048,0.09833,-0.01857,0.02738,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,Control-NoCC,72,-0.00474,0.09319,-0.025,0.01738,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP1-2.6,72,0.00903,0.09229,-0.01239,0.02964,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP2-4.5,72,-0.00047,0.09967,-0.02294,0.02255,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP5-8.5,72,0.00336,0.08839,-0.01682,0.02266,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,Control-NoCC,72,0.00227,0.08799,-0.01797,0.02261,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP1-2.6,72,0.00373,0.10045,-0.01955,0.0262,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP2-4.5,72,0.00152,0.10199,-0.02211,0.02384,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP5-8.5,72,0.0016,0.08689,-0.019,0.02067,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,Control-NoCC,72,-0.00316,0.08799,-0.02366,0.01653,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP1-2.6,72,-0.00197,0.09304,-0.02285,0.01899,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP2-4.5,72,-0.0014,0.1026,-0.02554,0.02192,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP5-8.5,72,0.02028,0.08738,-0.00056,0.04044,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,Control-NoCC,72,-0.01384,0.10161,-0.03674,0.01016,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP1-2.6,72,-0.00338,0.10101,-0.02688,0.01857,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP2-4.5,72,0.00068,0.09311,-0.02034,0.02147,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP5-8.5,72,0.00624,0.0904,-0.01484,0.02664,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,Control-NoCC,72,-0.01074,0.10241,-0.03302,0.01269,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP1-2.6,72,0.00196,0.09372,-0.01948,0.02298,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP2-4.5,72,0.00396,0.09786,-0.01823,0.02605,zero-crossing
