city,ssp,epoch,n_seeds,mean_gap,ci_lo,ci_hi,sign
Shanghai,Control-NoCC,2030,6,-0.0094,-0.02026,0.00799,zero-crossing
Shanghai,Control-NoCC,2040,6,0.00066,-0.0208,0.0154,zero-crossing
Shanghai,Control-NoCC,2050,6,-0.00696,-0.02233,0.00545,zero-crossing
Shanghai,Control-NoCC,2060,6,-0.00127,-0.01896,0.01239,zero-crossing
Shanghai,Control-NoCC,2070,6,0.00676,-0.00212,0.0168,zero-crossing
Shanghai,Control-NoCC,2080,6,-0.01684,-0.03626,-0.00163,negative
Shanghai,Control-NoCC,2090,6,0.00337,-0.00772,0.0203,zero-crossing
Shanghai,Control-NoCC,2100,6,-0.00155,-0.01992,0.01593,zero-crossing
Shanghai,SSP1-2.6,2030,6,0.00734,-0.00883,0.01743,zero-crossing
Shanghai,SSP1-2.6,2040,6,0.00302,-0.01262,0.02332,zero-crossing
Shanghai,SSP1-2.6,2050,6,-0.00205,-0.02746,0.01255,zero-crossing
Shanghai,SSP1-2.6,2060,6,-0.00047,-0.01291,0.01222,zero-crossing
Shanghai,SSP1-2.6,2070,6,-0.00041,-0.02286,0.022,zero-crossing
Shanghai,SSP1-2.6,2080,6,-0.00043,-0.01098,0.0159,zero-crossing
Shanghai,SSP1-2.6,2090,6,0.00345,-0.0091,0.01873,zero-crossing
Shanghai,SSP1-2.6,2100,6,0.004,-0.01654,0.02041,zero-crossing
Shanghai,SSP2-4.5,2030,6,0.01587,0.00384,0.02479,positive
Shanghai,SSP2-4.5,2040,6,0.02427,0.01195,0.03353,positive
Shanghai,SSP2-4.5,2050,6,0.01802,0.00879,0.02639,positive
Shanghai,SSP2-4.5,2060,6,0.02144,0.00876,0.03724,positive
Shanghai,SSP2-4.5,2070,6,0.01401,0.00196,0.0219,positive
Shanghai,SSP2-4.5,2080,6,0.01435,0.00187,0.03492,positive
Shanghai,SSP2-4.5,2090,6,0.02067,0.00964,0.02966,positive
Shanghai,SSP2-4.5,2100,6,0.01985,-0.00617,0.03107,zero-crossing
Shanghai,SSP5-8.5,2030,6,-0.00015,-0.01056,0.00944,zero-crossing
Shanghai,SSP5-8.5,2040,6,-0.00841,-0.03506,0.00265,zero-crossing
Shanghai,SSP5-8.5,2050,6,-0.00078,-0.02128,0.02335,zero-crossing
Shanghai,SSP5-8.5,2060,6,0.00702,-0.00638,0.02055,zero-crossing
Shanghai,SSP5-8.5,2070,6,0.0104,-0.00381,0.02189,zero-crossing
Shanghai,SSP5-8.5,2080,6,0.01148,-0.00348,0.03935,zero-crossing
Shanghai,SSP5-8.5,2090,6,0.00829,-0.01173,0.03546,zero-crossing
Shanghai,SSP5-8.5,2100,6,0.01314,-0.00443,0.02642,zero-crossing
Christchurch,Control-NoCC,2030,6,-0.0049,-0.02015,0.01001,zero-crossing
Christchurch,Control-NoCC,2040,6,0.00229,-0.01257,0.01336,zero-crossing
Christchurch,Control-NoCC,2050,6,-0.00019,-0.01944,0.02064,zero-crossing
Christchurch,Control-NoCC,2060,6,0.00565,-0.01113,0.03162,zero-crossing
Christchurch,Control-NoCC,2070,6,0.00512,-0.0086,0.01951,zero-crossing
Christchurch,Control-NoCC,2080,6,-0.0103,-0.03433,0.01361,zero-crossing
Christchurch,Control-NoCC,2090,6,0.00453,-0.01591,0.02976,zero-crossing
Christchurch,Control-NoCC,2100,6,-0.00666,-0.01999,0.00784,zero-crossing
Christchurch,SSP1-2.6,2030,6,0.00875,-0.01111,0.02174,zero-crossing
Christchurch,SSP1-2.6,2040,6,0.00678,-0.00604,0.02897,zero-crossing
Christchurch,SSP1-2.6,2050,6,0.00074,-0.01647,0.02569,zero-crossing
Christchurch,SSP1-2.6,2060,6,0.0013,-0.01062,0.0113,zero-crossing
Christchurch,SSP1-2.6,2070,6,-0.00033,-0.01348,0.01863,zero-crossing
Christchurch,SSP1-2.6,2080,6,0.00575,-0.00026,0.01211,zero-crossing
Christchurch,SSP1-2.6,2090,6,0.00912,-0.00742,0.0344,zero-crossing
Christchurch,SSP1-2.6,2100,6,0.00887,-0.01502,0.02878,zero-crossing
Christchurch,SSP2-4.5,2030,6,0.00621,-0.01361,0.01738,zero-crossing
Christchurch,SSP2-4.5,2040,6,0.02295,0.014,0.03963,positive
Christchurch,SSP2-4.5,2050,6,0.02112,0.01097,0.03311,positive
Christchurch,SSP2-4.5,2060,6,0.01,0.00174,0.0279,positive
Christchurch,SSP2-4.5,2070,6,0.01679,0.0063,0.02914,positive
Christchurch,SSP2-4.5,2080,6,0.00611,-0.00918,0.01477,zero-crossing
Christchurch,SSP2-4.5,2090,6,0.00806,-0.00232,0.02263,zero-crossing
Christchurch,SSP2-4.5,2100,6,0.01935,0.00473,0.02905,positive
Christchurch,SSP5-8.5,2030,6,0.00265,-0.00434,0.01073,zero-crossing
Christchurch,SSP5-8.5,2040,6,-0.00619,-0.02543,0.00308,zero-crossing
Christchurch,SSP5-8.5,2050,6,0.00682,-0.01482,0.02965,zero-crossing
Christchurch,SSP5-8.5,2060,6,0.0111,-0.00471,0.02953,zero-crossing
Christchurch,SSP5-8.5,2070,6,0.01281,0.00233,0.02204,positive
Christchurch,SSP5-8.5,2080,6,0.00701,-0.01863,0.0323,zero-crossing
Christchurch,SSP5-8.5,2090,6,0.01714,-0.01101,0.03726,zero-crossing
Christchurch,SSP5-8.5,2100,6,0.00539,-0.01847,0.02236,zero-crossing
Dhaka,Control-NoCC,2030,6,0.00103,-0.01039,0.01037,zero-crossing
Dhaka,Control-NoCC,2040,6,0.00358,-0.01315,0.01268,zero-crossing
Dhaka,Control-NoCC,2050,6,-0.00818,-0.03091,0.00867,zero-crossing
Dhaka,Control-NoCC,2060,6,0.00382,-0.00988,0.01308,zero-crossing
Dhaka,Control-NoCC,2070,6,0.00806,-0.00082,0.01622,zero-crossing
Dhaka,Control-NoCC,2080,6,-0.01197,-0.02837,0.00234,zero-crossing
Dhaka,Control-NoCC,2090,6,0.0086,-0.00572,0.01652,zero-crossing
Dhaka,Control-NoCC,2100,6,0.00037,-0.01014,0.00722,zero-crossing
Dhaka,SSP1-2.6,2030,6,0.00714,-0.00965,0.01961,zero-crossing
Dhaka,SSP1-2.6,2040,6,0.01039,0.00487,0.01856,positive
Dhaka,SSP1-2.6,2050,6,0.00524,-0.00975,0.0233,zero-crossing
Dhaka,SSP1-2.6,2060,6,0.00577,-0.00104,0.01854,zero-crossing
Dhaka,SSP1-2.6,2070,6,0.01072,-0.00763,0.02884,zero-crossing
Dhaka,SSP1-2.6,2080,6,0.01078,-0.00556,0.01862,zero-crossing
Dhaka,SSP1-2.6,2090,6,0.00808,0.00012,0.01778,positive
Dhaka,SSP1-2.6,2100,6,0.01416,0.00219,0.02784,positive
Dhaka,SSP2-4.5,2030,6,0.01142,-0.00212,0.02669,zero-crossing
Dhaka,SSP2-4.5,2040,6,0.01893,0.00862,0.02925,positive
Dhaka,SSP2-4.5,2050,6,0.02343,0.01221,0.03546,positive
Dhaka,SSP2-4.5,2060,6,0.01417,-0.00144,0.02827,zero-crossing
Dhaka,SSP2-4.5,2070,6,0.01089,0.0002,0.02559,positive
Dhaka,SSP2-4.5,2080,6,0.0121,-0.00262,0.02672,zero-crossing
Dhaka,SSP2-4.5,2090,6,0.01745,0.00823,0.02442,positive
Dhaka,SSP2-4.5,2100,6,0.01915,0.00547,0.02978,positive
Dhaka,SSP5-8.5,2030,6,-0.00734,-0.01737,0.00527,zero-crossing
Dhaka,SSP5-8.5,2040,6,-0.00995,-0.0169,-0.0028,negative
Dhaka,SSP5-8.5,2050,6,0.00639,-0.0046,0.027,zero-crossing
Dhaka,SSP5-8.5,2060,6,0.00723,-0.00695,0.01887,zero-crossing
