city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,ci_lo,ci_hi,sign
Tianjin,China,deltaic,39.1421,117.1767,2.5,Control-NoCC,72,0.00275,-0.01274,0.01831,zero-crossing
Tianjin,China,deltaic,39.1421,117.1767,2.5,SSP1-2.6,72,0.01685,9e-05,0.03377,positive
Tianjin,China,deltaic,39.1421,117.1767,2.5,SSP2-4.5,72,0.00334,-0.01453,0.01942,zero-crossing
Tianjin,China,deltaic,39.1421,117.1767,2.5,SSP5-8.5,72,0.02358,0.00541,0.04035,positive
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,Control-NoCC,72,0.00892,-0.0086,0.02625,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,SSP1-2.6,72,0.01243,-0.00612,0.03179,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,SSP2-4.5,72,0.00459,-0.01505,0.02344,zero-crossing
Bangkok,Thailand,coastal,13.7563,100.5018,3.5,SSP5-8.5,72,0.01241,-0.00953,0.03271,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,Control-NoCC,72,0.00819,-0.01249,0.02696,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,SSP1-2.6,72,0.02107,0.0021,0.04046,positive
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,SSP2-4.5,72,0.00217,-0.01893,0.02236,zero-crossing
Jakarta,Indonesia,lowland,-6.2088,106.8456,5.5,SSP5-8.5,72,0.00014,-0.02099,0.0197,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,Control-NoCC,72,-0.0086,-0.02495,0.0089,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,SSP1-2.6,72,0.00861,-0.00907,0.02572,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,SSP2-4.5,72,0.01544,-0.00243,0.03423,zero-crossing
NewOrleans,USA,deltaic,29.9511,-90.0715,2.0,SSP5-8.5,72,0.03821,0.02174,0.05566,positive
Manila,Philippines,coastal,14.5995,120.9842,3.5,Control-NoCC,72,0.00611,-0.01129,0.02288,zero-crossing
Manila,Philippines,coastal,14.5995,120.9842,3.5,SSP1-2.6,72,0.01026,-0.00903,0.0296,zero-crossing
Manila,Philippines,coastal,14.5995,120.9842,3.5,SSP2-4.5,72,0.01233,-0.00674,0.03028,zero-crossing
Manila,Philippines,coastal,14.5995,120.9842,3.5,SSP5-8.5,72,0.01113,-0.00845,0.03075,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,Control-NoCC,72,-0.00088,-0.0193,0.01832,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,SSP1-2.6,72,0.0145,-0.00271,0.03325,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,SSP2-4.5,72,0.0062,-0.0108,0.0234,zero-crossing
Christchurch,NewZealand,deltaic,-43.532,172.6306,1.5,SSP5-8.5,72,0.0299,0.01134,0.04793,positive
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,Control-NoCC,72,0.00732,-0.01139,0.02604,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,SSP1-2.6,72,0.01362,-0.00766,0.0369,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,SSP2-4.5,72,-0.00234,-0.02325,0.01765,zero-crossing
Wellington,NewZealand,coastal,-41.2924,174.7787,8.0,SSP5-8.5,72,0.00268,-0.01772,0.02464,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,Control-NoCC,72,0.01013,-0.00824,0.02899,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,SSP1-2.6,72,0.01233,-0.0064,0.03332,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,SSP2-4.5,72,-0.00025,-0.02249,0.02141,zero-crossing
MexicoCity,Mexico,high_alt,19.4326,-99.1332,6.0,SSP5-8.5,72,0.00146,-0.01854,0.02082,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,Control-NoCC,72,0.01274,-0.00868,0.03367,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,SSP1-2.6,72,0.01642,-0.00427,0.04044,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,SSP2-4.5,72,0.00027,-0.02078,0.02112,zero-crossing
Lima,Peru,arid,-12.0464,-77.0428,20.0,SSP5-8.5,72,0.00284,-0.01662,0.02282,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,Control-NoCC,72,0.00759,-0.01698,0.03058,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,SSP1-2.6,72,0.02538,0.00558,0.04763,positive
Cairo,Egypt,arid,30.0444,31.2357,8.0,SSP2-4.5,72,0.00131,-0.02017,0.02315,zero-crossing
Cairo,Egypt,arid,30.0444,31.2357,8.0,SSP5-8.5,72,-0.00483,-0.02715,0.01569,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,Control-NoCC,72,0.0073,-0.01286,0.02797,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,SSP1-2.6,72,0.01821,-0.0023,0.03823,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,SSP2-4.5,72,0.00161,-0.01885,0.02216,zero-crossing
Istanbul,Turkey,mixed,41.0082,28.9784,12.0,SSP5-8.5,72,0.01135,-0.00933,0.0309,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,Control-NoCC,72,0.00695,-0.01427,0.02801,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP1-2.6,72,0.02692,0.00726,0.04792,positive
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP2-4.5,72,-0.00133,-0.02353,0.02082,zero-crossing
Kathmandu,Nepal,high_alt,27.7172,85.324,8.0,SSP5-8.5,72,0.00614,-0.01471,0.02711,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,Control-NoCC,72,0.00193,-0.01637,0.02108,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP1-2.6,72,0.01738,-9e-05,0.03609,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP2-4.5,72,-0.00481,-0.02724,0.01554,zero-crossing
Mumbai,India,coastal,19.076,72.8777,5.0,SSP5-8.5,72,0.01182,-0.00898,0.03458,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,Control-NoCC,72,0.01529,-0.00376,0.03225,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP1-2.6,72,0.01828,-0.00286,0.03889,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP2-4.5,72,0.01334,-0.00491,0.03182,zero-crossing
Lagos,Nigeria,lowland,6.5244,3.3792,3.5,SSP5-8.5,72,0.00702,-0.01201,0.02449,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,Control-NoCC,72,0.0118,-0.00901,0.03273,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP1-2.6,72,0.02352,0.00357,0.04439,positive
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP2-4.5,72,0.00424,-0.01666,0.02412,zero-crossing
Tokyo,Japan,coastal,35.6762,139.6503,5.0,SSP5-8.5,72,0.002,-0.01559,0.01952,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,Control-NoCC,72,0.00679,-0.01373,0.02755,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP1-2.6,72,0.0083,-0.01126,0.0273,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP2-4.5,72,0.00441,-0.01714,0.02273,zero-crossing
Osaka,Japan,coastal,34.6937,135.5023,4.5,SSP5-8.5,72,0.00434,-0.01736,0.02678,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,Control-NoCC,72,0.01034,-0.00756,0.03014,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP1-2.6,72,0.01599,-0.00613,0.03718,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP2-4.5,72,0.00021,-0.02221,0.02155,zero-crossing
SanFrancisco,USA,mixed,37.7749,-122.4194,10.0,SSP5-8.5,72,0.00358,-0.01986,0.02534,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,Control-NoCC,72,0.00854,-0.0146,0.03028,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP1-2.6,72,0.00441,-0.01708,0.02579,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP2-4.5,72,-0.00049,-0.02193,0.01924,zero-crossing
Beijing,China,mixed,39.9042,116.4074,11.0,SSP5-8.5,72,-0.00399,-0.02829,0.01846,zero-crossing
